gene_callers_id	source	accession	function	e_value
AMXMAG_0088___1083	KOfam	K10806	acyl-CoA thioesterase YciA [EC:3.1.2.-]	4e-52
AMXMAG_0088___965	KOfam	K00432	glutathione peroxidase [EC:1.11.1.9]	1.6e-81
AMXMAG_0088___979	KOfam	K00426	cytochrome bd ubiquinol oxidase subunit II [EC:7.1.1.7]	2.8e-113
AMXMAG_0088___14	KOfam	K00340	NADH-quinone oxidoreductase subunit K [EC:7.1.1.2]	1.7e-44
AMXMAG_0088___786	KOfam	K15771	arabinogalactan oligomer / maltooligosaccharide transport system permease protein	2.2e-128
AMXMAG_0088___301	KOfam	K00817	histidinol-phosphate aminotransferase [EC:2.6.1.9]	1.1e-118
AMXMAG_0088___434	KOfam	K00817	histidinol-phosphate aminotransferase [EC:2.6.1.9]	3.5e-96
AMXMAG_0088___654	KOfam	K16052	MscS family membrane protein	8.5e-115
AMXMAG_0088___787	KOfam	K02027	multiple sugar transport system substrate-binding protein	1.2e-62
AMXMAG_0088___280	KOfam	K02033	peptide/nickel transport system permease protein	2.7e-88
AMXMAG_0088___319	KOfam	K09774	lipopolysaccharide export system protein LptA	7.8e-26
AMXMAG_0088___815	KOfam	K03271	D-sedoheptulose 7-phosphate isomerase [EC:5.3.1.28]	2.6e-70
AMXMAG_0088___1092	KOfam	K18123	4-hydroxy-2-oxoglutarate aldolase [EC:4.1.3.16]	5.2e-97
AMXMAG_0088___934	KOfam	K01843	lysine 2,3-aminomutase [EC:5.4.3.2]	4.3e-180
AMXMAG_0088___535	KOfam	K06889	uncharacterized protein	1.4e-36
AMXMAG_0088___20	KOfam	K02437	glycine cleavage system H protein	4.3e-16
AMXMAG_0088___529	KOfam	K01894	glutamyl-Q tRNA(Asp) synthetase [EC:6.1.1.-]	6.8e-120
AMXMAG_0088___605	KOfam	K03701	excinuclease ABC subunit A	0
AMXMAG_0088___478	KOfam	K01895	acetyl-CoA synthetase [EC:6.2.1.1]	0
AMXMAG_0088___616	KOfam	K01467	beta-lactamase class C [EC:3.5.2.6]	4.7e-73
AMXMAG_0088___615	KOfam	K03310	alanine or glycine:cation symporter, AGCS family	5.2e-180
AMXMAG_0088___785	KOfam	K02026	multiple sugar transport system permease protein	1.3e-91
AMXMAG_0088___390	KOfam	K11927	ATP-dependent RNA helicase RhlE [EC:3.6.4.13]	1.5e-181
AMXMAG_0088___787	KOfam	K15770	arabinogalactan oligomer / maltooligosaccharide transport system substrate-binding protein	5.2e-115
AMXMAG_0088___13	KOfam	K00341	NADH-quinone oxidoreductase subunit L [EC:7.1.1.2]	1.3e-222
AMXMAG_0088___1138	KOfam	K03892	ArsR family transcriptional regulator, arsenate/arsenite/antimonite-responsive transcriptional repressor	5.6e-30
AMXMAG_0088___11	KOfam	K00343	NADH-quinone oxidoreductase subunit N [EC:7.1.1.2]	6.3e-161
AMXMAG_0088___978	KOfam	K00425	cytochrome bd ubiquinol oxidase subunit I [EC:7.1.1.7]	3.6e-168
AMXMAG_0088___785	KOfam	K15772	arabinogalactan oligomer / maltooligosaccharide transport system permease protein	3.5e-105
AMXMAG_0088___1021	KOfam	K09165	dodecin	2.5e-28
AMXMAG_0088___544	KOfam	K07160	5-oxoprolinase (ATP-hydrolysing) subunit A [EC:3.5.2.9]	2.9e-106
AMXMAG_0088___586	KOfam	K00790	UDP-N-acetylglucosamine 1-carboxyvinyltransferase [EC:2.5.1.7]	1.1e-178
AMXMAG_0088___1048	KOfam	K16870	N-acetylglucosaminyl-diphospho-decaprenol L-rhamnosyltransferase [EC:2.4.1.289]	7.6e-137
AMXMAG_0088___1131	KOfam	K16870	N-acetylglucosaminyl-diphospho-decaprenol L-rhamnosyltransferase [EC:2.4.1.289]	1.3e-70
AMXMAG_0088___416	KOfam	K16870	N-acetylglucosaminyl-diphospho-decaprenol L-rhamnosyltransferase [EC:2.4.1.289]	4.4e-63
AMXMAG_0088___417	KOfam	K16870	N-acetylglucosaminyl-diphospho-decaprenol L-rhamnosyltransferase [EC:2.4.1.289]	2.1e-57
AMXMAG_0088___415	KOfam	K16870	N-acetylglucosaminyl-diphospho-decaprenol L-rhamnosyltransferase [EC:2.4.1.289]	3.3e-43
AMXMAG_0088___111	KOfam	K01303	acylaminoacyl-peptidase [EC:3.4.19.1]	1.1e-56
AMXMAG_0088___814	KOfam	K03272	D-beta-D-heptose 7-phosphate kinase / D-beta-D-heptose 1-phosphate adenosyltransferase [EC:2.7.1.167 2.7.7.70]	2.3e-173
AMXMAG_0088___320	KOfam	K06861	lipopolysaccharide export system ATP-binding protein [EC:7.5.2.5]	6.8e-123
AMXMAG_0088___193	KOfam	K02346	DNA polymerase IV [EC:2.7.7.7]	1.1e-155
AMXMAG_0088___1005	KOfam	K22900	tRNA (adenine37-N6)-methyltransferase [EC:2.1.1.-]	1.7e-47
AMXMAG_0088___288	KOfam	K03703	excinuclease ABC subunit C	5.8e-201
AMXMAG_0088___38	KOfam	K08681	pyridoxal 5'-phosphate synthase pdxT subunit [EC:4.3.3.6]	3e-73
AMXMAG_0088___268	KOfam	K01869	leucyl-tRNA synthetase [EC:6.1.1.4]	0
AMXMAG_0088___610	KOfam	K04087	modulator of FtsH protease HflC	1e-108
AMXMAG_0088___812	KOfam	K03273	D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase [EC:3.1.3.82 3.1.3.83]	5.2e-57
AMXMAG_0088___1096	KOfam	K07001	NTE family protein	3.2e-66
AMXMAG_0088___55	KOfam	K03501	16S rRNA (guanine527-N7)-methyltransferase [EC:2.1.1.170]	2.3e-39
AMXMAG_0088___327	KOfam	K08483	phosphoenolpyruvate-protein phosphotransferase (PTS system enzyme I) [EC:2.7.3.9]	1.9e-206
AMXMAG_0088___790	KOfam	K00975	glucose-1-phosphate adenylyltransferase [EC:2.7.7.27]	9.7e-157
AMXMAG_0088___561	KOfam	K00975	glucose-1-phosphate adenylyltransferase [EC:2.7.7.27]	2.1e-148
AMXMAG_0088___194	KOfam	K00975	glucose-1-phosphate adenylyltransferase [EC:2.7.7.27]	8.6e-136
AMXMAG_0088___894	KOfam	K05825	2-aminoadipate transaminase [EC:2.6.1.-]	5.8e-183
AMXMAG_0088___895	KOfam	K05825	2-aminoadipate transaminase [EC:2.6.1.-]	5.2e-161
AMXMAG_0088___922	KOfam	K02019	molybdate transport system regulatory protein	4.1e-31
AMXMAG_0088___1034	KOfam	K03307	solute:Na+ symporter, SSS family	8e-102
AMXMAG_0088___153	KOfam	K01262	Xaa-Pro aminopeptidase [EC:3.4.11.9]	1.9e-91
AMXMAG_0088___786	KOfam	K02025	multiple sugar transport system permease protein	3.3e-85
AMXMAG_0088___1023	KOfam	K00626	acetyl-CoA C-acetyltransferase [EC:2.3.1.9]	1.1e-121
AMXMAG_0088___197	KOfam	K09164	uncharacterized protein	3.3e-74
AMXMAG_0088___697	KOfam	K02970	small subunit ribosomal protein S21	1.1e-22
AMXMAG_0088___557	KOfam	K15773	HTH-type transcriptional regulator / antitoxin HipB	4.4e-19
AMXMAG_0088___12	KOfam	K00342	NADH-quinone oxidoreductase subunit M [EC:7.1.1.2]	2.6e-218
AMXMAG_0088___721	KOfam	K03667	ATP-dependent HslUV protease ATP-binding subunit HslU	2.3e-201
AMXMAG_0088___250	KOfam	K03101	signal peptidase II [EC:3.4.23.36]	3e-48
AMXMAG_0088___1107	KOfam	K04652	hydrogenase nickel incorporation protein HypB	5.7e-99
AMXMAG_0088___401	KOfam	K04487	cysteine desulfurase [EC:2.8.1.7]	7.5e-176
AMXMAG_0088___326	KOfam	K02784	phosphocarrier protein HPr	8.8e-32
AMXMAG_0088___688	KOfam	K01500	methenyltetrahydrofolate cyclohydrolase [EC:3.5.4.9]	2.2e-61
AMXMAG_0088___892	KOfam	K05772	tungstate transport system substrate-binding protein	6.2e-117
AMXMAG_0088___399	KOfam	K03465	thymidylate synthase (FAD) [EC:2.1.1.148]	5.6e-36
AMXMAG_0088___279	KOfam	K02035	peptide/nickel transport system substrate-binding protein	1.4e-102
AMXMAG_0088___1019	KOfam	K02035	peptide/nickel transport system substrate-binding protein	3.6e-95
AMXMAG_0088___855	KOfam	K21001	polysaccharide biosynthesis protein PslH	5.5e-57
AMXMAG_0088___964	KOfam	K00024	malate dehydrogenase [EC:1.1.1.37]	1.2e-122
AMXMAG_0088___120	KOfam	K00024	malate dehydrogenase [EC:1.1.1.37]	2.3e-117
AMXMAG_0088___396	KOfam	K01689	enolase [EC:4.2.1.11]	3.6e-186
AMXMAG_0088___1029	KOfam	K00226	dihydroorotate dehydrogenase (fumarate) [EC:1.3.98.1]	4.9e-79
AMXMAG_0088___1	KOfam	K01887	arginyl-tRNA synthetase [EC:6.1.1.19]	4.8e-100
AMXMAG_0088___117	KOfam	K02356	elongation factor P	8.9e-72
AMXMAG_0088___409	KOfam	K02356	elongation factor P	1.7e-62
AMXMAG_0088___851	KOfam	K18332	NADP-reducing hydrogenase subunit HndD [EC:1.12.1.3]	8.7e-258
AMXMAG_0088___254	KOfam	K18332	NADP-reducing hydrogenase subunit HndD [EC:1.12.1.3]	1.7e-249
AMXMAG_0088___312	KOfam	K03060	DNA-directed RNA polymerase subunit omega [EC:2.7.7.6]	7.7e-13
AMXMAG_0088___937	KOfam	K01844	beta-lysine 5,6-aminomutase alpha subunit [EC:5.4.3.3]	1.5e-247
AMXMAG_0088___32	KOfam	K04096	DNA processing protein	7.4e-112
AMXMAG_0088___259	KOfam	K00794	6,7-dimethyl-8-ribityllumazine synthase [EC:2.5.1.78]	2e-63
AMXMAG_0088___322	KOfam	K05808	ribosome hibernation promoting factor	5.7e-31
AMXMAG_0088___281	KOfam	K02034	peptide/nickel transport system permease protein	7.3e-92
AMXMAG_0088___693	KOfam	K07164	uncharacterized protein	2.6e-43
AMXMAG_0088___891	KOfam	K05773	tungstate transport system permease protein	1.1e-85
AMXMAG_0088___636	KOfam	K09808	lipoprotein-releasing system permease protein	1.9e-67
AMXMAG_0088___825	KOfam	K05571	multicomponent Na+:H+ antiporter subunit G	7.5e-35
AMXMAG_0088___492	KOfam	K03699	magnesium and cobalt exporter, CNNM family	1.6e-95
AMXMAG_0088___717	KOfam	K01924	UDP-N-acetylmuramate--alanine ligase [EC:6.3.2.8]	3.2e-121
AMXMAG_0088___747	KOfam	K06911	quercetin 2,3-dioxygenase [EC:1.13.11.24]	2.5e-75
AMXMAG_0088___1063	KOfam	K06911	quercetin 2,3-dioxygenase [EC:1.13.11.24]	3.9e-60
AMXMAG_0088___226	KOfam	K07402	xanthine dehydrogenase accessory factor	3.4e-75
AMXMAG_0088___325	KOfam	K02793	mannose PTS system EIIA component [EC:2.7.1.191]	1.1e-38
AMXMAG_0088___153	KOfam	K01271	Xaa-Pro dipeptidase [EC:3.4.13.9]	1.8e-81
AMXMAG_0088___617	KOfam	K00147	glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]	1.5e-183
AMXMAG_0088___424	KOfam	K01259	proline iminopeptidase [EC:3.4.11.5]	2.3e-145
AMXMAG_0088___699	KOfam	K08309	soluble lytic murein transglycosylase [EC:4.2.2.-]	1.6e-70
AMXMAG_0088___343	KOfam	K08309	soluble lytic murein transglycosylase [EC:4.2.2.-]	1.8e-42
AMXMAG_0088___444	KOfam	K09017	TetR/AcrR family transcriptional regulator	1.5e-38
AMXMAG_0088___27	KOfam	K04094	methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase [EC:2.1.1.74]	2.5e-197
AMXMAG_0088___884	KOfam	K03738	aldehyde:ferredoxin oxidoreductase [EC:1.2.7.5]	5.3e-143
AMXMAG_0088___246	KOfam	K00231	protoporphyrinogen/coproporphyrinogen III oxidase [EC:1.3.3.4 1.3.3.15]	1e-54
AMXMAG_0088___860	KOfam	K06133	4'-phosphopantetheinyl transferase [EC:2.7.8.-]	6.9e-18
AMXMAG_0088___644	KOfam	K02355	elongation factor G	8e-247
AMXMAG_0088___517	KOfam	K04042	bifunctional UDP-N-acetylglucosamine pyrophosphorylase / glucosamine-1-phosphate N-acetyltransferase [EC:2.7.7.23 2.3.1.157]	1.6e-187
AMXMAG_0088___701	KOfam	K03711	Fur family transcriptional regulator, ferric uptake regulator	8.7e-48
AMXMAG_0088___474	KOfam	K03088	RNA polymerase sigma-70 factor, ECF subfamily	2.2e-52
AMXMAG_0088___948	KOfam	K03088	RNA polymerase sigma-70 factor, ECF subfamily	6.5e-47
AMXMAG_0088___6	KOfam	K03088	RNA polymerase sigma-70 factor, ECF subfamily	3.1e-45
AMXMAG_0088___649	KOfam	K03088	RNA polymerase sigma-70 factor, ECF subfamily	8.5e-21
AMXMAG_0088___766	KOfam	K22522	cytokinin riboside 5'-monophosphate phosphoribohydrolase [EC:3.2.2.-]	8.8e-77
AMXMAG_0088___112	KOfam	K00973	glucose-1-phosphate thymidylyltransferase [EC:2.7.7.24]	7.7e-154
AMXMAG_0088___893	KOfam	K05994	bacterial leucyl aminopeptidase [EC:3.4.11.10]	2.2e-66
AMXMAG_0088___827	KOfam	K05566	multicomponent Na+:H+ antiporter subunit B	3.6e-33
AMXMAG_0088___1092	KOfam	K01714	4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7]	1.5e-86
AMXMAG_0088___1146	KOfam	K21349	glucosylglycerate synthase [EC:2.4.1.268]	3.8e-153
AMXMAG_0088___145	KOfam	K01902	succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	2.8e-152
AMXMAG_0088___351	KOfam	K07397	putative redox protein	1.2e-22
AMXMAG_0088___797	KOfam	K06937	tetraether lipid synthase [EC:1.21.98.5]	6.6e-144
AMXMAG_0088___1008	KOfam	K12942	aminobenzoyl-glutamate transport protein	8.8e-220
AMXMAG_0088___895	KOfam	K00375	GntR family transcriptional regulator / MocR family aminotransferase	6.2e-132
AMXMAG_0088___40	KOfam	K00375	GntR family transcriptional regulator / MocR family aminotransferase	1.7e-112
AMXMAG_0088___1018	KOfam	K06076	long-chain fatty acid transport protein	1.2e-61
AMXMAG_0088___272	KOfam	K03640	peptidoglycan-associated lipoprotein	7.6e-57
AMXMAG_0088___852	KOfam	K15022	formate dehydrogenase (NADP+) beta subunit [EC:1.17.1.10]	7.4e-199
AMXMAG_0088___309	KOfam	K11085	ATP-binding cassette, subfamily B, bacterial MsbA [EC:7.5.2.6]	2.2e-219
AMXMAG_0088___54	KOfam	K03495	tRNA uridine 5-carboxymethylaminomethyl modification enzyme	3.9e-249
AMXMAG_0088___1103	KOfam	K03324	phosphate:Na+ symporter	5.6e-134
AMXMAG_0088___908	KOfam	K00639	glycine C-acetyltransferase [EC:2.3.1.29]	2.9e-192
AMXMAG_0088___775	KOfam	K00639	glycine C-acetyltransferase [EC:2.3.1.29]	2.5e-182
AMXMAG_0088___600	KOfam	K18843	antitoxin HicB	6.7e-15
AMXMAG_0088___311	KOfam	K00942	guanylate kinase [EC:2.7.4.8]	1.4e-76
AMXMAG_0088___347	KOfam	K00003	homoserine dehydrogenase [EC:1.1.1.3]	7.5e-138
AMXMAG_0088___50	KOfam	K03536	ribonuclease P protein component [EC:3.1.26.5]	4.8e-30
AMXMAG_0088___1048	KOfam	K16649	rhamnopyranosyl-N-acetylglucosaminyl-diphospho-decaprenol beta-1,3/1,4-galactofuranosyltransferase [EC:2.4.1.287]	2.3e-54
AMXMAG_0088___135	KOfam	K17231	iodotyrosine deiodinase [EC:1.21.1.1]	1.4e-106
AMXMAG_0088___890	KOfam	K06857	tungstate transport system ATP-binding protein [EC:7.3.2.6]	1.3e-87
AMXMAG_0088___1060	KOfam	K00573	protein-L-isoaspartate(D-aspartate) O-methyltransferase [EC:2.1.1.77]	4.1e-90
AMXMAG_0088___377	KOfam	K06894	alpha-2-macroglobulin	2.4e-234
AMXMAG_0088___958	KOfam	K03734	FAD:protein FMN transferase [EC:2.7.1.180]	9e-42
AMXMAG_0088___959	KOfam	K03734	FAD:protein FMN transferase [EC:2.7.1.180]	1.4e-30
AMXMAG_0088___408	KOfam	K11443	two-component system, cell cycle response regulator DivK	4e-48
AMXMAG_0088___316	KOfam	K04066	primosomal protein N' (replication factor Y) (superfamily II helicase) [EC:5.6.2.4]	3.4e-215
AMXMAG_0088___972	KOfam	K03286	OmpA-OmpF porin, OOP family	3.1e-51
AMXMAG_0088___822	KOfam	K03286	OmpA-OmpF porin, OOP family	8.1e-36
AMXMAG_0088___1052	KOfam	K00943	dTMP kinase [EC:2.7.4.9]	3.8e-70
AMXMAG_0088___271	KOfam	K05807	outer membrane protein assembly factor BamD	2.9e-22
AMXMAG_0088___510	KOfam	K02013	iron complex transport system ATP-binding protein [EC:7.2.2.-]	3.7e-85
AMXMAG_0088___548	KOfam	K01283	peptidyl-dipeptidase A [EC:3.4.15.1]	1.8e-239
AMXMAG_0088___1144	KOfam	K13693	glucosyl-3-phosphoglycerate synthase [EC:2.4.1.266]	4e-66
AMXMAG_0088___292	KOfam	K01297	muramoyltetrapeptide carboxypeptidase [EC:3.4.17.13]	9e-91
AMXMAG_0088___294	KOfam	K03655	ATP-dependent DNA helicase RecG [EC:5.6.2.4]	2.2e-187
AMXMAG_0088___273	KOfam	K03641	TolB protein	6.3e-67
AMXMAG_0088___177	KOfam	K07341	death on curing protein	3.5e-42
AMXMAG_0088___144	KOfam	K01903	succinyl-CoA synthetase beta subunit [EC:6.2.1.5]	6.7e-181
AMXMAG_0088___352	KOfam	K01915	glutamine synthetase [EC:6.3.1.2]	6.2e-78
AMXMAG_0088___829	KOfam	K05568	multicomponent Na+:H+ antiporter subunit D	1.1e-134
AMXMAG_0088___830	KOfam	K05568	multicomponent Na+:H+ antiporter subunit D	4.2e-134
AMXMAG_0088___832	KOfam	K05568	multicomponent Na+:H+ antiporter subunit D	4.2e-120
AMXMAG_0088___515	KOfam	K03657	ATP-dependent DNA helicase UvrD/PcrA [EC:5.6.2.4]	9.4e-203
AMXMAG_0088___576	KOfam	K02549	o-succinylbenzoate synthase [EC:4.2.1.113]	9.4e-104
AMXMAG_0088___452	KOfam	K05540	tRNA-dihydrouridine synthase B [EC:1.-.-.-]	2.3e-120
AMXMAG_0088___1086	KOfam	K11904	type VI secretion system secreted protein VgrG	6.3e-206
AMXMAG_0088___440	KOfam	K00809	deoxyhypusine synthase [EC:2.5.1.46]	1.5e-49
AMXMAG_0088___56	KOfam	K03496	chromosome partitioning protein	2.8e-96
AMXMAG_0088___332	KOfam	K03496	chromosome partitioning protein	1.6e-79
AMXMAG_0088___217	KOfam	K03496	chromosome partitioning protein	3.2e-60
AMXMAG_0088___575	KOfam	K01295	glutamate carboxypeptidase [EC:3.4.17.11]	1.4e-131
AMXMAG_0088___420	KOfam	K02005	HlyD family secretion protein	9.6e-89
AMXMAG_0088___358	KOfam	K02005	HlyD family secretion protein	1.5e-79
AMXMAG_0088___235	KOfam	K07141	molybdenum cofactor cytidylyltransferase [EC:2.7.7.76]	7.6e-56
AMXMAG_0088___257	KOfam	K00772	5'-methylthioadenosine phosphorylase [EC:2.4.2.28]	8.2e-99
AMXMAG_0088___850	KOfam	K01322	prolyl oligopeptidase [EC:3.4.21.26]	1e-237
AMXMAG_0088___898	KOfam	K19784	chromate reductase, NAD(P)H dehydrogenase (quinone)	1e-50
AMXMAG_0088___418	KOfam	K01875	seryl-tRNA synthetase [EC:6.1.1.11]	1.8e-158
AMXMAG_0088___694	KOfam	K03086	RNA polymerase primary sigma factor	2.6e-176
AMXMAG_0088___321	KOfam	K03092	RNA polymerase sigma-54 factor	2.4e-158
AMXMAG_0088___670	KOfam	K23424	protein O-mannosyl-transferase [EC:2.4.1.-]	1.1e-86
AMXMAG_0088___410	KOfam	K03723	transcription-repair coupling factor (superfamily II helicase) [EC:5.6.2.4]	0
AMXMAG_0088___1028	KOfam	K03737	pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-]	0
AMXMAG_0088___642	KOfam	K02372	3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59]	3.1e-63
AMXMAG_0088___905	KOfam	K00997	holo-[acyl-carrier protein] synthase [EC:2.7.8.7]	7.8e-37
AMXMAG_0088___199	KOfam	K00029	malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]	1.2e-225
AMXMAG_0088___146	KOfam	K00940	nucleoside-diphosphate kinase [EC:2.7.4.6]	2.2e-51
AMXMAG_0088___282	KOfam	K00954	pantetheine-phosphate adenylyltransferase [EC:2.7.7.3]	5.1e-75
AMXMAG_0088___629	KOfam	K02004	putative ABC transport system permease protein	1.2e-33
AMXMAG_0088___422	KOfam	K02004	putative ABC transport system permease protein	2.9e-30
AMXMAG_0088___421	KOfam	K02004	putative ABC transport system permease protein	1.2e-28
AMXMAG_0088___864	KOfam	K02004	putative ABC transport system permease protein	1.3e-26
AMXMAG_0088___356	KOfam	K02004	putative ABC transport system permease protein	7.7e-26
AMXMAG_0088___355	KOfam	K02004	putative ABC transport system permease protein	4.6e-24
AMXMAG_0088___303	KOfam	K02945	small subunit ribosomal protein S1	3.9e-257
AMXMAG_0088___209	KOfam	K02945	small subunit ribosomal protein S1	1e-141
AMXMAG_0088___573	KOfam	K23753	AMP-polyphosphate phosphotransferase [EC:2.7.4.33]	1.1e-207
AMXMAG_0088___516	KOfam	K00820	glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16]	9.3e-240
AMXMAG_0088___542	KOfam	K00820	glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16]	8.7e-84
AMXMAG_0088___57	KOfam	K03497	ParB family transcriptional regulator, chromosome partitioning protein	2.6e-71
AMXMAG_0088___333	KOfam	K03497	ParB family transcriptional regulator, chromosome partitioning protein	1.3e-52
AMXMAG_0088___1104	KOfam	K01733	threonine synthase [EC:4.2.3.1]	3.8e-85
AMXMAG_0088___1082	KOfam	K15034	ribosome-associated protein	1.2e-38
AMXMAG_0088___823	KOfam	K05569	multicomponent Na+:H+ antiporter subunit E	4.4e-40
AMXMAG_0088___630	KOfam	K01069	hydroxyacylglutathione hydrolase [EC:3.1.2.6]	1.4e-59
AMXMAG_0088___659	KOfam	K02574	ferredoxin-type protein NapH	2e-54
AMXMAG_0088___717	KOfam	K02558	UDP-N-acetylmuramate: L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase [EC:6.3.2.45]	2.5e-152
AMXMAG_0088___798	KOfam	K01737	6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50]	3.2e-24
AMXMAG_0088___1096	KOfam	K14676	lysophospholipid hydrolase [EC:3.1.1.5]	3.5e-166
AMXMAG_0088___921	KOfam	K02014	iron complex outermembrane recepter protein	8.5e-75
AMXMAG_0088___1109	KOfam	K02014	iron complex outermembrane recepter protein	1.6e-73
AMXMAG_0088___1123	KOfam	K02014	iron complex outermembrane recepter protein	1.2e-60
AMXMAG_0088___572	KOfam	K02835	peptide chain release factor 1	2.5e-154
AMXMAG_0088___603	KOfam	K16868	tellurite methyltransferase [EC:2.1.1.265]	9.3e-31
AMXMAG_0088___251	KOfam	K01870	isoleucyl-tRNA synthetase [EC:6.1.1.5]	1.8e-278
AMXMAG_0088___266	KOfam	K00575	chemotaxis protein methyltransferase CheR [EC:2.1.1.80]	4.7e-75
AMXMAG_0088___690	KOfam	K04074	cell division initiation protein	1.8e-37
AMXMAG_0088___723	KOfam	K03733	integrase/recombinase XerC	1.1e-110
AMXMAG_0088___220	KOfam	K01681	aconitate hydratase [EC:4.2.1.3]	0
AMXMAG_0088___689	KOfam	K01468	imidazolonepropionase [EC:3.5.2.7]	4.8e-111
AMXMAG_0088___336	KOfam	K08316	16S rRNA (guanine966-N2)-methyltransferase [EC:2.1.1.171]	2.8e-50
AMXMAG_0088___780	KOfam	K07025	putative hydrolase of the HAD superfamily	1.1e-35
AMXMAG_0088___302	KOfam	K00945	CMP/dCMP kinase [EC:2.7.4.25]	8.9e-78
AMXMAG_0088___781	KOfam	K03294	basic amino acid/polyamine antiporter, APA family	5.4e-175
AMXMAG_0088___335	KOfam	K00789	S-adenosylmethionine synthetase [EC:2.5.1.6]	6.5e-193
AMXMAG_0088___728	KOfam	K00789	S-adenosylmethionine synthetase [EC:2.5.1.6]	8.4e-30
AMXMAG_0088___270	KOfam	K02968	small subunit ribosomal protein S20	1.8e-25
AMXMAG_0088___359	KOfam	K00428	cytochrome c peroxidase [EC:1.11.1.5]	2.5e-100
AMXMAG_0088___252	KOfam	K01091	phosphoglycolate phosphatase [EC:3.1.3.18]	9.4e-36
AMXMAG_0088___211	KOfam	K11527	two-component system, sensor histidine kinase and response regulator [EC:2.7.13.3]	5.1e-188
AMXMAG_0088___604	KOfam	K01046	triacylglycerol lipase [EC:3.1.1.3]	3e-21
AMXMAG_0088___170	KOfam	K19147	5-methylcytosine-specific restriction enzyme subunit McrC	2.6e-68
AMXMAG_0088___173	KOfam	K19147	5-methylcytosine-specific restriction enzyme subunit McrC	2.4e-21
AMXMAG_0088___659	KOfam	K02573	ferredoxin-type protein NapG	2e-43
AMXMAG_0088___997	KOfam	K09817	zinc transport system ATP-binding protein [EC:7.2.2.20]	1.5e-87
AMXMAG_0088___628	KOfam	K02003	putative ABC transport system ATP-binding protein	4.6e-110
AMXMAG_0088___357	KOfam	K02003	putative ABC transport system ATP-binding protein	1.3e-101
AMXMAG_0088___865	KOfam	K02003	putative ABC transport system ATP-binding protein	1.6e-90
AMXMAG_0088___425	KOfam	K01278	dipeptidyl-peptidase 4 [EC:3.4.14.5]	8.7e-211
AMXMAG_0088___308	KOfam	K00748	lipid-A-disaccharide synthase [EC:2.4.1.182]	5.3e-113
AMXMAG_0088___207	KOfam	K03527	4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase [EC:1.17.7.4]	2.7e-84
AMXMAG_0088___633	KOfam	K00760	hypoxanthine phosphoribosyltransferase [EC:2.4.2.8]	1.2e-60
AMXMAG_0088___632	KOfam	K09022	2-iminobutanoate/2-iminopropanoate deaminase [EC:3.5.99.10]	4e-55
AMXMAG_0088___1093	KOfam	K09022	2-iminobutanoate/2-iminopropanoate deaminase [EC:3.5.99.10]	7e-43
AMXMAG_0088___662	KOfam	K09022	2-iminobutanoate/2-iminopropanoate deaminase [EC:3.5.99.10]	1.1e-34
AMXMAG_0088___297	KOfam	K01867	tryptophanyl-tRNA synthetase [EC:6.1.1.2]	9.2e-124
AMXMAG_0088___562	KOfam	K03719	Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein	6.4e-46
AMXMAG_0088___431	KOfam	K03719	Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein	1.9e-45
AMXMAG_0088___700	KOfam	K01669	deoxyribodipyrimidine photo-lyase [EC:4.1.99.3]	7.1e-147
AMXMAG_0088___122	KOfam	K00239	succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1]	4.9e-207
AMXMAG_0088___527	KOfam	K01866	tyrosyl-tRNA synthetase [EC:6.1.1.1]	1.7e-91
AMXMAG_0088___611	KOfam	K04088	modulator of FtsH protease HflK	1.3e-110
AMXMAG_0088___249	KOfam	K13292	phosphatidylglycerol---prolipoprotein diacylglyceryl transferase [EC:2.5.1.145]	3.3e-66
AMXMAG_0088___1147	KOfam	K07026	mannosyl-3-phosphoglycerate phosphatase [EC:3.1.3.70]	1.2e-47
AMXMAG_0088___919	KOfam	K09792	uncharacterized protein	6.2e-50
AMXMAG_0088___512	KOfam	K02016	iron complex transport system substrate-binding protein	2.3e-49
AMXMAG_0088___582	KOfam	K07152	protein SCO1	4.5e-34
AMXMAG_0088___367	KOfam	K07152	protein SCO1	3.5e-25
AMXMAG_0088___755	KOfam	K01251	adenosylhomocysteinase [EC:3.13.2.1]	7.1e-232
